+ITJ		Oh				# DUMMY CLASSES FOR TAGS
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+SENT		.
+ITJ		Oh
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+SENT		.
+ITJ		Oh
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+int_prop	***dummy_prop***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+PUNCT		--
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+int_adj	***dummy_adj***
+SENT		.
+ITJ		Oh
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+int_adv	***dummy_adv***
+ITJ		Oh
+SENT		.
