A

acet/i          to_buy
frap/i          to_hit, to_strike
frat/o          brother
fraul/o         bachelor (fraulino: unmarried woman, "Miss")
fremd/a         foreign, alien
fru/a           early
frukt/o         fruit
fum/o*          smoke

G

gaj/a           happy, cheerful
gajn/i          to_win, to_acquire
gazet/o         magazine
geografi/o*     geography
glaci/o*        ice
glas/o          (drinking) glass
glob/o*         globe, sphere
gol/o*          goal (scored)
grand/a         large, great
grav/a          important
griz/a*         gray
gust/o*         taste
gust/um/i*      to_taste (something) (trans.)

G

gangal/o*       jungle
garden/o        garden
gi              it
gis             till, until, as far as (preposition, conjunction)
goj/i           to_be glad, to_rejoice
gust/a          correct, exact

H

ha!             ah! (interjection)
halt/i          to_stop (intrans.)
har/o           (one) hair
hav/i           to_have
hejm/o          home
hel/a           bright, clear
help/i          to_help
herb/o*         grass
hierau          yesterday
histori/o       history
ho!             o!, oh! (interjection)
hodiau          today
hom/o           person
hor/o           hour, time of day
hund/o          dog

H

hor/o*          choir, chorus

I

ide/o           idea
ili             they
imag/i*         to_imagine
indian/o*       (American) Indian
infan/o         child
insekt/o*       insect
instru/i*       to_teach 
inter           between, among (preposition)
interes/o       interest
interes/i       to_interest, to_be interesting to_(trans.)
intern/a        internal, inside
ir/i            to_go

J

ja              indeed (emphatic particle)
jaht/o*         yacht
jam             already (adverb)
januar/o*       january
jar/o           year
je              as regards, in relation to_(indefinite preposition)
jen             here is (are), look!; sometimes... sometimes..., now... now...
jes             yes
Johan/o*        John
juli/o*         july
jun/a           young
juni/o*         june
just/a          just, fair

J

jaluz/a*        jealous
jaud/o*         thursday
jet/i           to_throw
jurnal/o*       newspaper
jus             just, just now (adverb)

K

kaf/o*          coffee
kaj             and (conjunction)
Kalgari/o*      Calgary
kalkul/i        to_calculate, to_count
kamp/o          field, area
kanjon/o*       canyon
kant/i          to_sing
kap/o           head
kapt/i          to_catch
kar/a           dear
kas/i           to_hide (trans.)
kat/o           cat
kauz/o          cause
ke              that (conjunction)
kelk/a          some
klar/a          clear
klin/i*         to_incline, to_bend (trans.)
klub/o*         club, group
knab/o          boy
kol/o           neck
kolekt/i        to_collect (trans.)
koler/i         to_be angry
kolor/o         color
komenc/i        to_begin (something) (trans.)
komerc/i        to_trade, to_do business
kompren/i       to_understand
komun/a         common, general
kon/i           to_know
konduk/i        to_lead
kongres/o*      congress, convention
konsent/i       to_agree
konsil/i        to_advise
konstru/i       to_build
kontent/a       satisfied, content
kontrau         against, opposite (preposition)
kor/o           heart
korespond/i*    to_correspond, to_exchange letters
korp/o          body
kort/o          yard, courtyard
kost/i          to_cost
kovert/o*       envelope
kovr/i          to_cover
kred/i          to_believe
kresk/i         to_grow (intrans.)
kri/i           to_yell, to_cry out
krom            besides, except (preposition)
ktp*            "kaj tiel plu" ("and so on") (abbr.)
kuir/i          to_cook
kuk/o*          cake
kun             with (preposition)
kunikl/o*       rabbit
kur/i           to_run
kurag/a         brave, courageous
kurs/o*         course, series of lessons
kus/i           to_lie down
kutim/o         custom, habit
kvankam         although (conjunction)
kvar            four
kvazau          as if, as though (conjunction, adverb)
kvin            five

L

la              the (definite article)
labor/i         to_work
lac/a           tired
lakt/o          milk
land/o          country, land
larg/a          wide
las/i           to_leave, to_allow
last/a          last
lau             according_to, along (preposition)
lav/i           to_wash (trans.)
lecion/o*       lesson
leg/i           to_read
lern/i          to_learn
leter/o         letter (correspondence)
lev/i           to_lift
li              he
liber/a         free, independent
libr/o          book
lig/o           league, alliance
lig/i           to_tie, to_bind
lign/o          wood
limonad/o*      lemonade, soft drink (Europe)
lingv/o         language
lini/o          line
lit/o           bed
log/i           to_live, to_inhabit
lok/o           place, position
London/o*       London
long/a          long
lud/i           to_play
lum/i           to_shine, to_give light
lund/o*         monday

M

maj/o*          may (month)
man/o           hand
mang/i          to_eat
mank/i          to_be lacking, to_be absent
mar/o           sea, ocean
mard/o*         tuesday
mark/o          sign, mark
mart/o*         march (month)
maten/o         morning
maten/mang/o*   breakfast
mejl/o*         mile
mem             -self, -selves
membr/o*        member
memor/i         to_remember
merkred/o*      wednesday
met/i           to_put, to_place
mez/o           middle
mezur/i         to_measure (something) (trans.)
mi              I, me
mil             (one) thousand
milion/o*       million
milit/i         to_wage war
minut/o         minute
mir/i           to_marvel, to_be amazed
moment/o        moment
mon/o           money
monat/o         month
mond/o          world
mont/o          mountain
montr/i         to_show
morgau          tomorrow
mort/i          to_die (intrans.)
mov/i           to_move (something) (trans.)
mult/a          much, a lot of
mur/o           wall

N

naci/o          nation
nag/i*          to_swim
nask/i          to_give birth (to) (trans.)
natur/o         nature
nau             nine
naz/o           nose
ne              no, not
neces/a         necessary
neg/o           snow
nek             nor, neither... nor... (conjunction)
neutral/a*      neutral, impartial
ni              we, us
nigr/a          black
nokt/o          night
nom/o           name
nombr/o         number, amount
nord/a*         north
nov/a           new
Nov-Jork/o*     New York
novembr/o*      november
nu              well!, now! (interjection)
nub/o           cloud
nul             zero
nul/o*          nil, name of the number zero
nun             now
nur             only (adverb)

O

oft/a           frequent, common
ok              eight
okaz/i          to_happen, to_occur
oktobr/o*       October
okul/o          eye
okup/i          to_occupy
ol              than (in comparisions) (conjunction)
ond/o*          wave
oni             one, people, "they" (indefinite pronoun)
onkl/o          uncle
opini/i         to_think, to_have an opinion
ord/o           order
ordon/i         to_order, to_command
orel/o          ear
ost/o*          bone
ov/o*           egg

P

pac/o           peace
paf/i*          to_shoot
pag/i           to_pay
pan/o           bread
pantofl/o*      slipper
paper/o         paper
pardon/i        to_forgive, to_excuse
Pariz/o*        Paris
parol/i         to_speak
part/o          part
pas/i           to_pass
pas/i           to_step, to_pace
patr/o          father
pec/o           piece, bit
pen/i           to_try, to_endeavour
pens/i          to_think
per             by (means of), with (preposition)
perd/i          to_lose
permes/i        to_allow, to_permit
person/o        person
pet/i           to_ask (for), to_request
pied/o          foot
pilk/o*         ball (for playing)
plac/i*         to_please, to_be pleasing
plag/o*         beach
plank/o         floor
plej            most (superlative) (adverb)
plen/a          full
plend/i         to_complain
plezur/o        pleasure, enjoyment
pli             more (comparative) (adverb)
plor/i          to_cry, to_weep
plu             further, more (adverb)
plum/o          pen
pluv/o          rain
polus/o*        pole (as in North Pole)
popol/o         people, nation
por             for, in order to_(preposition)
pord/o          door
port/i          to_carry
post            after, behind (preposition)
postul/i        to_demand, to_require
pos/o*          pocket
pov/i           to_be able (to)
prav/a          right, correct
precip/a        main, principal
prem/i          to_press, to_squeeze
pren/i          to_take
preskau         almost (adverb)
pret/a          ready
preter          beyond, past (preposition)
prezent/i       to_present
pri             about, concerning (preposition)
printemp/o      spring
pro             because of, by reason of (preposition)
problem/o*      problem
profund/a       deep
proksim/a       near, close
promen/i*       to_take a walk
propr/a         (one's) own
prosper/i*      to_prosper
prov/i          to_try, to_test
pun/i*          to_punish
punkt/o         point, period
pur/a           clean, pure

R

rajt/o          a right
rakont/i        to_tell, to_narrate
rapid/a         quick, fast
reg/i           to_rule, to_control
renkont/i       to_meet
respond/i       to_answer
rest/i          to_remain, to_continue to_be
rest/o          rest, remainder
ricev/i         to_receive
ric/a           rich
rid/i           to_laugh
rigard/i        to_look (at)
rimark/i        to_notice
rimed/o         means, resource
ripoz/i         to_rest
river/o         river
rob/o*          a dress
romp/i          to_break (trans.)
rond/o          round, circle
roz/o           rose
rug/a           red

S

sabat/o*        saturday
sabl/o*         sand
sag/o*          arrow
salt/i          to_jump
salut/i         to_greet
sam/a           same
san/a           healthy
San-Francisk/o* San Francisco
sandvic/o*      sandwich
sang/o          blood
sat/a           full, not hungry
sci/i           to_know
se              if (conjunction)
sed             but (conjunction)
seg/o           chair
sek/a*          dry
sekv/i          to_follow
semajn/o        week
sen             without (preposition)
send/i          to_send
sent/i          to_feel (trans.)
sep             seven
septembr/o*     september
serc/i          to_look for, to_seek
serv/i          to_serve
ses             six
si              (him)self, (her)self, (one)self (reflexive pronoun)
sid/i           to_sit
silent/i        to_be silent
simpl/a         simple
sinjor/o        mister, gentleman
skatol/o*       box, case
skrib/i         to_write
soif/i*         to_be thirsty
sol/a           alone
solv/i*         to_solve (trans.)
somer/o         summer
son/i           to_sound
spec/o          kind, sort
staci/o         station (for bus, train, etc.)
star/i          to_stand
stat/o          state, condition
step/o*         steppe
strat/o         street
stud/i*         to_study 
sub             under, beneath (preposition)
sufer/i         to_suffer
sufic/a         sufficient, enough
sukces/i*       to_succeed
suker/o         sugar
sun/o           sun
super           over, above (preposition)
supr/o          top, summit
sur             on, upon (preposition)

S

saf/o*          sheep
sajn/i          to_seem, to_appear to_be
sang/i          to_change (trans.)
sat/i*          to_have a high opinion of, to_value, to_like
si              she
sip/o           ship
sose/o*         road, roadway
ston/o          stone
su/o*           shoe

T

tabl/o          table
tabl/o/tenis/o* table tennis, ping-pong
tag/o           day
tag/mang/o*     lunch
tajp/i*         to_type
tamen           however, nevertheless (adverb, conjunction)
tamtam/o*       tom-tom
tas/o*          cup
task/o*         task
te/o*           tea
teatr/o*        a theater
Teksas/o*       Texas
temp/o          time
ten/i           to_hold, to_have
tenis/o*        tennis
ter/o           earth, ground
tim/i           to_fear
tip/o*          type, sort
tir/i           to_pull
tra             through (preposition)
traf/i*         to_hit (a goal, etc.), to_strike
tranc/i         to_cut
trankvil/a      calm, quiet
trans           across, on the other side of (preposition)
tre             very
tri             three
trink/i         to_drink
tro             too, too much
trov/i*         to_find
tuj             immediately
turn/i          to_turn (trans.)
tus/i           to_touch
tut/a           whole, entire

U

unu             one
urb/o           city, town
Uson/o*         USA
util/a          useful
uz/i            to_use

V

vagon/o         train waggon, carriage
valiz/o*        suitcase, luggage
valor/o         value
varb/i*         to_recruit
varm/a          warm, hot
vast/a*         vast, huge
vek/i           to_awake (someone) (trans.)
ven/i           to_come
vend/i          to_sell (trans.)
vendred/o*      friday
vent/o          wind
ver/a           true, real
verd/a          green
vesper/o        evening
vest/o          garment, article of clothing
veter/o         weather
vetur/i         to_travel (by vehicle: to_drive, to_fly, etc.)
vi              you
vid/i           to_see
vilag/o         village
vin/o*          wine
vintr/o         winter
vir/o           man
vitr/o          glass (substance)
viv/i           to_live, to_be alive
vizag/o         face
vizit/i*        to_visit
voj/o           way, road
vojag/i         to_travel, to_journey 
vok/i           to_call (trans)
vol/i           to_want to
vort/o          word

Z

zorg/i          to_care for, to_take care of
