-aĵo                                                                                      chose (concrète), difficulté, gravure
Benelukso                                                                                 Benelux
Bengalio                                                                                  Bengale
Bengalujo                                                                                 Bengale
Benino                                                                                    Bénin
Benjamino                                                                                 Benjamin
Beogrado                                                                                  Belgrade
Berlino                                                                                   Berlin
Bermudoj                                                                                  Bermudes
Bernardo                                                                                  Bernard
Berno                                                                                     Berne
Besarabio                                                                                 Bessarabie
Besarabujo                                                                                Bessarabie
Betleĥemo                                                                                 Bethléem
Biblio                                                                                    Bible, Ecriture sainte, Saintes Écritures
Birmo                                                                                     Birmanie
Bizanco                                                                                   Byzance
Bjelorusio                                                                                Biélorussie, Russie-blanche
Bjelorusujo                                                                               Biélorussie, Russie-blanche
Blubarbulo                                                                                Barbe-bleue
Boetio                                                                                    Boèce
Boformaro                                                                                 mer de Beaufort
Bohemio                                                                                   Bohême
Bohemujo                                                                                  Bohême
Bolbeko                                                                                   Bombaye
Bolivio                                                                                   Bolivie
Bombajo                                                                                   Bombay
Bonifacio                                                                                 Boniface
Bosnio                                                                                    Bosnie
Bosnio-Hercegovino                                                                        Bosnie-herzégovine
Bosnujo                                                                                   Bosnie
Bosporo                                                                                   Bosphore
Brabanto                                                                                  Brabant
Brandenburgo                                                                              Brandebourg
Brazavilo                                                                                 Brazzaville
Brazilo                                                                                   Brésil
Bremo                                                                                     Brême
Bretonio                                                                                  Bretagne
Bretonujo                                                                                 Bretagne
Britio                                                                                    Grande-Bretagne
Britujo                                                                                   Grande-Bretagne
Brugo                                                                                     Bruges
Brunhildo                                                                                 Brunehilde
Bruselo                                                                                   Bruxelles
Bruĝo                                                                                     Bruges
Budao                                                                                     Bouddha
Budapeŝto                                                                                 Budapest
Buddo                                                                                     Bouddha
Budho                                                                                     Bouddha
Bulgario                                                                                  Bulgarie
Bulonjo                                                                                   Boulogne
Burgonjo                                                                                  Bourgogne
Burgundio                                                                                 Bourgogne
Burkinafaso                                                                               Burkina Faso
Buro                                                                                      Afrikander
Burundio                                                                                  Burundi
Butano                                                                                    Butan
C                                                                                         do, ut
CD-romo                                                                                   CD-rom
Cejlono                                                                                   Ceylan
Celsiuso                                                                                  Celsius
Centro                                                                                    Centre, le Centre
Cerbero                                                                                   Cerbère
Cereso                                                                                    Cérès
Cevenoj                                                                                   Cévennes
Cezaro                                                                                    César
Cicero                                                                                    Cicéron
Cikladoj                                                                                  Cyclades
Cindrulino                                                                                Cendrillon
Ciono                                                                                     Sion
Cipro                                                                                     Chypre
Cirilo                                                                                    Cyrille
Cirkaŭtrafi                                                                               encadrer
Cistercio                                                                                 Cîteaux
D-kordo                                                                                   corde de ré
Dagestano                                                                                 Daguestan
Dahomeo                                                                                   Dahomey
Dajdalo                                                                                   Dédale
Dakaro                                                                                    Dakar
Dalailamao                                                                                Dalaï-lama
Dalmatio                                                                                  Dalmatie
Dalmatujo                                                                                 Dalmatie
Damasko                                                                                   Damas
Damokleso                                                                                 Damoclès
Danio                                                                                     Danemark
Danlando                                                                                  Danemark
Danubo                                                                                    Danube
Danujo                                                                                    Danemark
Dardaneloj                                                                                Dardanelles
Davido                                                                                    David
Davismarkolo                                                                              détroit de Davis
Dekamerono                                                                                Décaméron
Delfio                                                                                    Delphes
Demosteno                                                                                 Démosthène
Denain                                                                                    Denain
Dendermondo                                                                               Termonde
Diano                                                                                     Diane
Dikfingrulo                                                                               Petit Poucet
Diksmudo                                                                                  Dixmude
Diluvio                                                                                   Déluge
Dio                                                                                       Dieu
Diogeno                                                                                   Diogène
Diokletiano                                                                               Dioclétien
Dionisio                                                                                  Denis
Dofineo                                                                                   Dauphiné
Dolardo                                                                                   Dollar
Dolomitoj                                                                                 Dolomites
Dominikao                                                                                 Dominique
Dominikio                                                                                 République Dominicaine
Dominiko                                                                                  Dominique
Donkiĥoto                                                                                 don Quichotte
Drezdo                                                                                    Dresde
Dunkerko                                                                                  Dunkerque
Dunkirko                                                                                  Dunkerque
E-kordo                                                                                   corde de mi
Eburio                                                                                    Côte d'Ivoire
Edeno                                                                                     Eden
Edinburgo                                                                                 Edimbourg
Edingeno                                                                                  Enghien
Edvardinsulo                                                                              Île-du-Prince-Edouard
Edvardo                                                                                   Édouard
Egerio                                                                                    Égérie
Egiptio                                                                                   Égypte
Egiptujo                                                                                  Égypte
Ejfelturo                                                                                 Tour Eiffel
Ekvadoro                                                                                  Équateur
Elbo                                                                                      Elbe
Elektro                                                                                   Électre
Elesmerinsulo                                                                             Île d'Ellesmere
Elio                                                                                      Élie
Elizabeto                                                                                 Élisabeth
Elizeo                                                                                    Élysée
Elzaco                                                                                    Alsace
Eminenco                                                                                  Éminence (titre)
Eneo                                                                                      Enée
Engelberto                                                                                Engelbert
Eolo                                                                                      Éole
Epifanio                                                                                  Épiphanie
Epikuro                                                                                   Épicure
Erasmo                                                                                    Érasme
Eritreo                                                                                   Érythrée
Eroso                                                                                     Éros
Esopo                                                                                     Ésope
Estonio                                                                                   Estonie
Estonujo                                                                                  Estonie
Etiopio                                                                                   Éthiopie
Etiopujo                                                                                  Éthiopie
Etno                                                                                      Etna
Everesto                                                                                  Everest
Evo                                                                                       Ève
Ezaŭo                                                                                     Ésaü
Ezro                                                                                      Esdras
Eŝhilo                                                                                    Eschyle
Eŭfrato                                                                                   Euphrate
Eŭklido                                                                                   Euclide
Eŭripido                                                                                  Euripide
Eŭropo                                                                                    Europe
Fajrolando                                                                                Terre de Feu
Fenicio                                                                                   Phénicie
Fenicujo                                                                                  Phénicie
Filipinoj                                                                                 Philippines
Filipo                                                                                    Philippe
Fingrulo                                                                                  le Petit Poucet, Petit Poucet
Finnio                                                                                    Finlande
Finnlando                                                                                 Finlande
Finnujo                                                                                   Finlande
Flandrio                                                                                  Flandre
Flandrujo                                                                                 Flandre
Flisingo                                                                                  Flessingue
Florido                                                                                   Floride
Fortuno                                                                                   Fortune (myth.)
Francilio                                                                                 Île-de-France
Francio                                                                                   France
Francisko                                                                                 François
Francujo                                                                                  France
Frankfurto                                                                                Francfort
Franko                                                                                    Franc
Frankonio                                                                                 Franconie
Frederiko                                                                                 Frédéric
Frislando                                                                                 Frise
G-kleo                                                                                    clef de sol
Gabono                                                                                    Gabon
Galapagoinsuloj                                                                           Îles Galapagos
Galegio                                                                                   Galice
Galegujo                                                                                  Galice
Galicio                                                                                   Galicie
Galicujo                                                                                  Galicie
Galileo                                                                                   Galilée
Gambilando                                                                                Gambie
Gango                                                                                     Gange
Ganio                                                                                     Ghana
Gano                                                                                      Ghanéen
Gardolago                                                                                 Lac de Garde
Gaŭlio                                                                                    Gaule
Gaŭlujo                                                                                   Gaule
Geldrio                                                                                   Gueldre
Geldrujo                                                                                  Gueldre
Genezo                                                                                    Genèse
Gento                                                                                     Gand
Georgo                                                                                    Georges
Germanio                                                                                  Allemagne
Germanujo                                                                                 Allemagne
Gideono                                                                                   Gédéon
Gizeno                                                                                    Guines
Golgoto                                                                                   Golgotha
Gomoro                                                                                    Gomorrhe
Gralkavaliro                                                                              Chevalier du Graal
Gralo                                                                                     Graal
Gramonto                                                                                  Grammont
Gravelino                                                                                 Gravelines
Gregorio                                                                                  Grégoire
Grekio                                                                                    Grèce
Grekujo                                                                                   Grèce
Grenlando                                                                                 Groenland
Groenlando                                                                                Groenland
Gustavo                                                                                   Gustave
Gvadelupo                                                                                 Guadeloupe
Gvatemalo                                                                                 Guatemala
Gvinebisaŭo                                                                               Guinée-Bissau
Gvineo                                                                                    Guinée
Hagaro                                                                                    Agar
Hago                                                                                      La Haye
Haitio                                                                                    Haïti
Haito                                                                                     Haïti
Hamburgo                                                                                  Hambourg
Hanibalo                                                                                  Hannibal
Hanovro                                                                                   Hanovre
Hanso                                                                                     Hanse
Havajo                                                                                    Hawaii
Havano                                                                                    La Havane
Hebridoj                                                                                  Hébrides
Hektoro                                                                                   Hector
Helaso                                                                                    Hellade
Heleno                                                                                    Hélène
Helesponto                                                                                Dardanelles
Helgio                                                                                    Héligoland
Helsinko                                                                                  Helsinki
Helvetio                                                                                  Helvétie
Helvetujo                                                                                 Helvétie
Herkulo                                                                                   Hercule
Hermeso                                                                                   Hermès
Herodo                                                                                    Hérode
Herodoto                                                                                  Hérodote
Hieronimo                                                                                 Jérôme
Himalajo                                                                                  Himalaya
Hindio                                                                                    Inde
Hindoĉinio                                                                                Indochine
Hindoĉinujo                                                                               Indochine
Hindoĥinujo                                                                               Indochine
Hindujo                                                                                   Inde
Hindustano                                                                                Hindoustan
Hipokrato                                                                                 Hippocrate
Hispanio                                                                                  Espagne
Hispanlando                                                                               Espagne
Hispanujo                                                                                 Espagne
Holando                                                                                   Hollande
Homero                                                                                    Homère
Honduraso                                                                                 Honduras
Honkongo                                                                                  Hong Kong
Horatio                                                                                   Horace
Horuso                                                                                    Horus
Huberto                                                                                   Hubert
Hudsongolfo                                                                               Golf de Hudson
Hudsonmarkolo                                                                             détroit d'Hudson
Hugo                                                                                      Hugues
Hungario                                                                                  Hongrie
Hungarujo                                                                                 Hongrie
Iberio                                                                                    Ibérie
Iberujo                                                                                   Ibérie
Ignatio                                                                                   Ignace
Ikaro                                                                                     Icare
